id,demand,date,temp_1,temp_night_1,wind_1,wind_night_1,ssrd_ratio_1,temp_2,temp_night_2,wind_2,wind_night_2,ssrd_ratio_2,temp_3,temp_night_3,wind_3,wind_night_3,ssrd_ratio_3,temp_4,temp_night_4,wind_4,wind_night_4,ssrd_ratio_4,temp_5,temp_night_5,wind_5,wind_night_5,ssrd_ratio_5,temp_6,temp_night_6,wind_6,wind_night_6,ssrd_ratio_6,temp_7,temp_night_7,wind_7,wind_night_7,ssrd_ratio_7,temp_8,temp_night_8,wind_8,wind_night_8,ssrd_ratio_8,temp_9,temp_night_9,wind_9,wind_night_9,ssrd_ratio_9,temp_10,temp_night_10,wind_10,wind_night_10,ssrd_ratio_10,temp_11,temp_night_11,wind_11,wind_night_11,ssrd_ratio_11,temp_12,temp_night_12,wind_12,wind_night_12,ssrd_ratio_12,temp_13,temp_night_13,wind_13,wind_night_13,ssrd_ratio_13
12,220.9128099,11/01/2009,6.393291667,2.622916667,8.632941764,3.368800422,1.463404759,7.8385,3.1995,10.02710928,3.883654617,1.050350462,8.563,3.4555,9.444982135,3.738428013,0.794852784,9.019666667,3.491166667,9.871747135,3.529501222,0.396842471,6.393291667,2.622916667,8.632941764,3.368800422,1.463404759,7.769958333,3.121208333,9.756122365,3.611757874,0.512055008,10.10370833,3.646083333,8.762162897,2.983221732,0.266535073,6.364625,2.498583333,7.55477059,3.106585262,1.668437897,6.79125,2.725083333,7.684979736,3.144120871,1.350634066,8.527166667,3.318,8.591022564,3.442353839,0.821874847,7.761083333,3.11975,8.980337021,3.481686678,0.647370296,8.836083333,3.5125,8.626023773,3.292185349,0.341909471,7.727291667,3.044708333,8.262209179,3.185040856,0.574208716
13,196.8926429,12/01/2009,8.307375,3.008583333,7.46460303,2.29172487,0.146561545,8.418,2.766708333,5.761332618,1.864423206,0.205250667,8.284291667,2.600416667,4.514856145,1.348992948,0.931825376,6.94625,2.142416667,4.983721195,1.427448563,1.374576749,8.307375,3.008583333,7.46460303,2.29172487,0.146561545,6.985166667,2.143541667,4.753878113,1.503341204,1.002641551,6.404666667,1.896708333,5.405392928,1.55732837,1.409620244,8.251916667,3.191166667,8.1345289,2.426021566,0.234627316,8.271666667,2.969833333,7.446863918,2.079999822,0.176392766,8.872041667,2.746666667,6.120116335,1.792345855,0.119492071,7.8315,2.476875,4.63858367,1.541893497,0.544407476,7.908541667,2.3765,3.725232245,1.184365015,1.076709815,7.713125,2.656166667,4.575514474,1.819026689,0.308356476
14,200.0667475,13/01/2009,5.074291667,0.768708333,3.252474833,0.96902917,0.839404061,4.709583333,0.659791667,3.114290758,0.940120373,1.045567915,3.409458333,0.291791667,2.194367493,0.780233707,0.530137385,3.015,0.426291667,2.654871372,1.068381585,0.933098472,5.074291667,0.768708333,3.252474833,0.96902917,0.839404061,3.395875,0.918666667,2.199320082,0.709226938,0.408081898,2.015458333,0.144083333,2.188028413,0.711127705,1.710757457,5.458,0.852958333,3.267747878,0.913344424,0.810227314,5.061916667,0.862583333,2.951709847,0.84466219,1.13484672,4.697083333,0.894583333,2.893394229,0.824252455,1.28873248,3.715708333,0.402708333,2.647916251,0.795931995,1.168533003,3.413958333,0.272,2.133171923,0.674580673,1.041331237,3.23825,0.054291667,2.546729025,0.680213924,1.370709492
15,226.6032123,14/01/2009,2.359958333,1.186583333,3.670687006,1.82918739,1.295223278,2.621416667,1.494083333,4.268928567,2.043589386,0.75523089,2.535291667,1.201333333,3.953284675,2.019454866,0.819592376,2.42875,1.244625,3.716706274,1.914622573,0.925745707,2.359958333,1.186583333,3.670687006,1.82918739,1.295223278,3.040291667,1.497,4.001195773,1.942287092,0.791871813,2.434916667,1.353541667,3.186174102,1.186245166,0.954524387,3.398708333,1.856791667,3.44823459,1.93484411,1.324429118,4.062875,2.119625,3.706187968,1.981304746,1.305773654,5.6205,2.623875,5.191778307,2.470262278,1.050832372,2.81475,1.753375,4.62855228,2.175588427,0.78260134,3.904541667,2.2395,4.999852108,2.194159765,0.973122588,3.655083333,2.18275,4.554269715,2.183094075,0.962529551
16,214.3315928,15/01/2009,4.597625,1.587375,5.776588895,1.973659725,0.551656014,5.722833333,1.825708333,6.524175149,2.19009976,0.477707595,5.396333333,1.69275,6.858716163,2.280703591,0.386720863,6.251291667,2.225,5.964750852,2.005140015,0.386475274,4.597625,1.587375,5.776588895,1.973659725,0.551656014,5.372541667,1.791458333,6.102989756,1.991351542,0.301530617,8.159708333,2.927041667,6.016683206,2.058336405,0.174732505,5.063666667,1.89125,5.700767967,1.85224031,0.731224393,5.787041667,2.083041667,5.506298954,1.721508038,0.821317521,7.511125,2.794416667,6.162924129,1.862932249,0.655289522,5.887458333,1.918375,6.483728232,2.118278397,0.422517465,6.967041667,2.418708333,6.105399669,1.940876217,0.412834911,6.441,2.302125,5.834080219,1.83699342,0.492341703
17,197.269382,16/01/2009,7.202041667,2.931666667,6.459496846,2.838530912,0.713915711,7.511291667,2.968416667,6.649239583,2.860340978,0.720574228,7.085416667,2.869,6.455853858,2.769479344,0.587892728,6.832166667,2.595875,5.446152044,2.082015504,1.032823809,7.202041667,2.931666667,6.459496846,2.838530912,0.713915711,6.356416667,2.477458333,6.144929664,2.508622037,0.780388225,7.051208333,2.537375,4.752101752,1.53557932,0.954271647,7.390125,2.91225,6.660868756,3.038162546,0.736157939,7.894875,3.028791667,6.612747089,2.936317016,0.699456105,8.861833333,3.316041667,6.495968103,2.751330523,1.275181747,7.312291667,2.7745,6.334800478,2.588882652,0.727810879,7.954041667,2.984583333,5.719244932,2.19640998,0.974454774,7.55375,2.785958333,6.117907946,2.476819412,1.129597614
18,186.6181706,17/01/2009,7.327416667,2.398583333,8.233587378,3.028895534,1.617403516,6.78575,2.15225,8.137108195,2.770575288,1.603127094,6.374083333,2.018333333,7.241555422,2.295033677,1.47673534,4.961458333,1.485083333,6.47757354,2.03244034,1.590876866,7.327416667,2.398583333,8.233587378,3.028895534,1.617403516,4.692583333,1.392041667,7.184690612,2.127025243,1.512867371,4.7685,1.415166667,6.854737938,2.438845692,1.402064901,8.123958333,2.810125,8.599895294,3.523328337,1.573070558,7.785041667,2.596583333,8.015809128,3.113502362,1.578542931,7.46975,2.196125,7.622595054,2.22558104,1.361744568,5.805125,1.717333333,7.413072355,2.274640099,1.647431991,5.6985,1.608875,6.514481864,1.908163296,1.546634795,5.750375,1.54275,6.961838885,2.015704597,1.492731293
19,202.7160023,18/01/2009,4.595125,1.596125,6.418453757,2.312030347,1.502857557,4.246916667,1.336916667,6.651607896,2.238986862,1.703157081,3.812458333,1.058333333,6.278386372,2.063905637,1.625556609,3.11775,1.027,6.56615813,2.090450778,1.709552052,4.595125,1.596125,6.418453757,2.312030347,1.502857557,2.731666667,0.783625,6.483827997,1.945260533,1.606534387,3.042708333,1.098541667,5.628212587,1.742369226,1.103581923,5.757125,2.294875,6.739131565,2.715900493,1.498904855,5.350833333,2.091416667,6.058667607,2.367316166,1.518866536,5.310166667,2.047333333,5.729979556,2.125328242,1.536427299,3.509041667,1.086333333,5.82607956,2.025130093,1.813342669,4.000708333,1.300958333,5.617072438,1.986327948,1.728077735,3.978666667,1.422083333,5.515604997,1.989767995,1.709975437
20,226.3590226,19/01/2009,3.679875,0.856833333,5.899409405,2.212659786,0.688658178,3.022458333,0.888916667,6.265042226,2.452891448,0.645584727,2.518375,0.753041667,5.854572618,2.10804636,0.528470005,1.790083333,0.693041667,4.989340697,1.876652559,0.474770437,3.679875,0.856833333,5.899409405,2.212659786,0.688658178,1.768041667,0.724791667,6.508797067,2.668091523,0.640746541,1.55975,0.390958333,3.054511017,1.10429094,0.56771371,5.087416667,1.482625,6.752049219,2.356454275,0.79885843,4.487708333,1.3205,5.617952511,2.126600639,0.980706889,4.283375,1.2975,5.261880918,1.753046945,1.243759844,2.367291667,0.69175,5.711203971,2.028700005,0.785290636,2.953333333,1.058208333,5.027018511,1.880633527,0.959154521,2.935125,0.854666667,5.358935705,1.837233983,1.164941309
21,230.6143209,20/01/2009,2.298208333,0.13475,3.989525025,1.420414161,1.40177583,2.744458333,0.729291667,5.263003165,1.837768781,1.724889917,3.02275,0.808208333,5.229706667,1.627652655,1.443445821,3.195083333,1.167666667,5.828151232,1.830010534,1.16282679,2.298208333,0.13475,3.989525025,1.420414161,1.40177583,2.405166667,0.794083333,5.6824206,1.707437672,1.346239865,3.0165,1.290791667,4.981215367,1.646646778,0.820771072,3.493625,0.724583333,3.318299043,1.07629745,0.967944035,2.791083333,0.226291667,3.160133213,1.02342546,1.249632694,2.393875,0.452833333,2.745402368,0.938340629,1.52980357,2.094333333,0.564875,4.378964442,1.411211492,1.76077112,2.842708333,0.822416667,3.75970973,1.008646632,1.761543865,2.055291667,0.423416667,3.288954084,1.013026382,1.63909251
